Date (YYYYMMDD);Hour;Inflow (m^3/s)
20040118;17;13.80358696
20040118;18;13.3316412
20040118;19;15.43362713
20040118;20;12.51939869
20040118;21;11.82936764
20040118;22;12.38658428
20040118;23;11.06333828
20040118;24;11.35055542
20040119;1;11.92670536
20040119;2;9.794077873
20040119;3;9.836660385
20040119;4;10.09059715
20040119;5;9.447206497
20040119;6;8.294094086
20040119;7;9.058519363
20040119;8;7.833517551
20040119;9;6.255990028
20040119;10;6.561736584
20040119;11;5.96332407
20040119;12;5.061097145
20040119;13;5.458100796
20040119;14;4.595062256
20040119;15;4.548239231
20040119;16;4.411049366
20040119;17;4.064828873
20040119;18;3.614630461
20040119;19;3.513783455
20040119;20;3.464782476
20040119;21;2.90707159
20040119;22;2.758039951
20040119;23;2.759481668
20040119;24;2.45309186
20040120;1;2.368457079
20040120;2;2.33402586
20040120;3;2.240347147
20040120;4;2.185292721
20040120;5;2.147633314
20040120;6;2.116619825
20040120;7;2.091421127
20040120;8;2.082085133
20040120;9;2.112943411
20040120;10;2.12706852
20040120;11;2.064070702
20040120;12;2.07702899
20040120;13;2.096925497
20040120;14;2.103073359
20040120;15;2.095829964
20040120;16;2.129160643
20040120;17;2.070880175
20040120;18;2.042249203
20040120;19;2.04230547
20040120;20;2.037758589
20040120;21;2.025901318
20040120;22;2.044806004
20040120;23;2.012240887
20040120;24;2.028569221
20040121;1;2.015851498
20040121;2;2.012168407
20040121;3;1.986433506
20040121;4;1.987995625
20040121;5;1.992855549
20040121;6;1.97626853
20040121;7;1.970773697
20040121;8;1.968326211
20040121;9;1.964283228
20040121;10;1.961329818
20040121;11;1.958872437
20040121;12;1.956560135
20040121;13;1.954427719
20040121;14;1.952414632
20040121;15;1.950495124
20040121;16;1.948649526
20040121;17;1.946862459
20040121;18;1.94512105
20040121;19;1.943412781
20040121;20;1.941727996
20040121;21;1.940062046
20040121;22;1.938406944
20040121;23;1.936755419
20040121;24;1.935103893
20040122;1;1.933451653
20040122;2;1.931795955
20040122;3;1.930131674
20040122;4;1.928454995
20040122;5;1.926763892
20040122;6;1.925056815
20040122;7;1.923333287
20040122;8;1.92159307
20040122;9;1.919836044
20040122;10;1.918062687
20040122;11;1.916272879
20040122;12;1.914467454
20040122;13;1.91264689
20040122;14;1.910811901
20040122;15;1.908963323
20040122;16;1.90710175
20040122;17;1.905228138
20040122;18;1.903342605
20040122;19;1.901445508
20040122;20;1.899537802
20040122;21;1.897619843
20040122;22;1.895691514
20040122;23;1.893753409
20040122;24;1.891806364
20040123;1;1.889850616
20040123;2;1.887886405
20040123;3;1.885913968
20040123;4;1.883933544
20040123;5;1.881945968
20040123;6;1.879951715
